method,n_real,rows,mean_acc,std_acc,mean_macro_f1,std_macro_f1
llm,2,40,0.785992,0.020717,0.777772,0.018362
noise_aug,2,40,0.695355,0.109671,0.675013,0.1119
random_open_loop,2,40,0.52419,0.147368,0.45037,0.127144
real_only,2,40,0.68023,0.091063,0.641382,0.101007
rule,2,40,0.783325,0.021797,0.775707,0.019333
llm,5,40,0.78394,0.029507,0.773228,0.031445
noise_aug,5,40,0.723572,0.06795,0.709305,0.070551
random_open_loop,5,40,0.61448,0.096695,0.51378,0.105786
real_only,5,40,0.727942,0.064254,0.697758,0.080037
rule,5,40,0.779262,0.030999,0.76916,0.032267
llm,10,40,0.78673,0.024424,0.776585,0.023705
noise_aug,10,40,0.74957,0.048849,0.734123,0.055623
random_open_loop,10,40,0.65426,0.061911,0.57197,0.081126
real_only,10,40,0.74547,0.053898,0.721857,0.071472
rule,10,40,0.786183,0.023701,0.776382,0.022668
