sample_id,file_name,label,condition_id,insert_edge_id,window_sec,duration_sec,resampled_samples,windows,too_short,nan_inf_count
mutcm_000,Insert0Edge2_Vc100.0_fz0.1_ap1.5_VB0.0_Rep1.mat,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.5,8.2760620000011,16552,12,False,0
mutcm_000,Insert0Edge2_Vc100.0_fz0.1_ap1.5_VB0.0_Rep1.mat,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge2,1.0,8.2760620000011,16552,12,False,0
mutcm_001,Insert0Edge2_Vc100.0_fz0.2_ap1.5_VB0.0_Rep1.mat,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge2,0.5,7.5906130000010075,15181,12,False,0
mutcm_001,Insert0Edge2_Vc100.0_fz0.2_ap1.5_VB0.0_Rep1.mat,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge2,1.0,7.5906130000010075,15181,12,False,0
mutcm_002,Insert0Edge2_Vc200.0_fz0.1_ap1.5_VB0.018_Rep1.mat,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge2,0.5,7.1981610000009555,14396,12,False,0
mutcm_002,Insert0Edge2_Vc200.0_fz0.1_ap1.5_VB0.018_Rep1.mat,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge2,1.0,7.1981610000009555,14396,12,False,0
mutcm_003,Insert0Edge3_Vc100.0_fz0.1_ap1.5_VB0.0_Rep2.mat,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.5,7.919679000001051,15839,12,False,0
mutcm_003,Insert0Edge3_Vc100.0_fz0.1_ap1.5_VB0.0_Rep2.mat,healthy,CastIron.GG30|Vc100|fz0.1|ap1.5|ae58.4,Insert0_Edge3,1.0,7.919679000001051,15839,12,False,0
mutcm_004,Insert0Edge3_Vc100.0_fz0.2_ap1.5_VB0.0_Rep2.mat,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge3,0.5,7.227817000000959,14455,12,False,0
mutcm_004,Insert0Edge3_Vc100.0_fz0.2_ap1.5_VB0.0_Rep2.mat,healthy,CastIron.GG30|Vc100|fz0.2|ap1.5|ae58.4,Insert0_Edge3,1.0,7.227817000000959,14455,12,False,0
mutcm_005,Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep1.mat,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.5,7.209372000000957,14418,12,False,0
mutcm_005,Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep1.mat,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge3,1.0,7.209372000000957,14418,12,False,0
mutcm_006,Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep2.mat,healthy,CastIron.GG30|Vc200|fz0.1|ap1.5|ae58.4,Insert0_Edge3,0.5,7.231949000000959,14463,12,False,0
