file_name,exists,size_bytes
Insert0Edge2_Vc100.0_fz0.1_ap1.5_VB0.0_Rep1.mat,True,237058360
Insert0Edge2_Vc100.0_fz0.2_ap1.5_VB0.0_Rep1.mat,True,224385592
Insert0Edge2_Vc200.0_fz0.1_ap1.5_VB0.018_Rep1.mat,True,469130968
Insert0Edge3_Vc100.0_fz0.1_ap1.5_VB0.0_Rep2.mat,True,230459464
Insert0Edge3_Vc100.0_fz0.2_ap1.5_VB0.0_Rep2.mat,True,217675160
Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep1.mat,True,217319784
Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep2.mat,True,217754696
Insert0Edge3_Vc200.0_fz0.2_ap1.5_VB0.0_Rep1.mat,True,193868936
Insert0Edge3_Vc200.0_fz0.2_ap1.5_VB0.0_Rep2.mat,True,193875464
Insert1Edge1_Vc100.0_fz0.05_ap1.5_VB0.137_Rep1.mat,True,378463216
Insert1Edge1_Vc100.0_fz0.05_ap1.5_VB0.137_Rep2.mat,True,380710016
Insert1Edge1_Vc100.0_fz0.1_ap1.5_VB0.139_Rep1.mat,True,250982336
Insert1Edge1_Vc100.0_fz0.1_ap1.5_VB0.139_Rep2.mat,True,250063456
Insert1Edge1_Vc50.0_fz0.05_ap1.5_VB0.132_Rep1.mat,True,763142368
Insert1Edge1_Vc50.0_fz0.05_ap1.5_VB0.132_Rep2.mat,True,762320096
Insert1Edge1_Vc50.0_fz0.1_ap1.5_VB0.137_Rep1.mat,True,526834896
Insert1Edge1_Vc50.0_fz0.1_ap1.5_VB0.137_Rep2.mat,True,387517824
Insert2Edge1_Vc100.0_fz0.1_ap1.5_VB0.12_Rep1.mat,True,236478632
Insert2Edge1_Vc100.0_fz0.1_ap1.5_VB0.12_Rep2.mat,True,236742840
Insert2Edge1_Vc100.0_fz0.2_ap1.5_VB0.123_Rep1.mat,True,217720520
Insert2Edge1_Vc100.0_fz0.2_ap1.5_VB0.123_Rep2.mat,True,217777784
Insert2Edge1_Vc200.0_fz0.1_ap1.5_VB0.125_Rep1.mat,True,217309112
Insert2Edge1_Vc200.0_fz0.1_ap1.5_VB0.125_Rep2.mat,True,217091400
Insert2Edge1_Vc200.0_fz0.2_ap1.5_VB0.125_Rep1.mat,True,180273128
Insert2Edge1_Vc200.0_fz0.2_ap1.5_VB0.125_Rep2.mat,True,194333304
Insert3Edge1_Vc100.0_fz0.05_ap1.5_VB0.206_Rep1.mat,True,379457952
Insert3Edge1_Vc100.0_fz0.05_ap1.5_VB0.206_Rep2.mat,True,377922064
Insert3Edge1_Vc100.0_fz0.1_ap1.5_VB0.213_Rep1.mat,True,1286683104
Insert3Edge1_Vc100.0_fz0.1_ap1.5_VB0.213_Rep2.mat,True,237855920
Insert3Edge1_Vc50.0_fz0.05_ap1.5_VB0.202_Rep1.mat,True,1089208
Insert3Edge1_Vc50.0_fz0.05_ap1.5_VB0.202_Rep2.mat,True,777406304
Insert3Edge1_Vc50.0_fz0.05_ap1.5_VB0.202_Rep3.mat,True,777933632
Insert3Edge1_Vc50.0_fz0.1_ap1.5_VB0.206_Rep1.mat,True,381528592
Insert3Edge1_Vc50.0_fz0.1_ap1.5_VB0.206_Rep2.mat,True,379619904
Insert4Edge1_Vc100.0_fz0.1_ap1.5_VB0.201_Rep1.mat,True,237102232
Insert4Edge1_Vc100.0_fz0.1_ap1.5_VB0.201_Rep2.mat,True,236480184
Insert4Edge1_Vc100.0_fz0.2_ap1.5_VB0.202_Rep1.mat,True,217745416
Insert4Edge1_Vc100.0_fz0.2_ap1.5_VB0.202_Rep2.mat,True,385135144
Insert4Edge1_Vc200.0_fz0.1_ap1.5_VB0.211_Rep1.mat,True,217242824
Insert4Edge1_Vc200.0_fz0.1_ap1.5_VB0.211_Rep2.mat,True,217273768
Insert4Edge1_Vc200.0_fz0.2_ap1.5_VB0.242_Rep1.mat,True,179890120
Insert4Edge1_Vc200.0_fz0.2_ap1.5_VB0.242_Rep2.mat,True,180351272
Insert6Edge1_Vc100.0_fz0.05_ap1.5_VB0.291_Rep1.mat,True,377351600
Insert6Edge1_Vc100.0_fz0.05_ap1.5_VB0.291_Rep2.mat,True,372976672
Insert6Edge1_Vc100.0_fz0.1_ap1.5_VB0.276_Rep1.mat,True,250800424
Insert6Edge1_Vc100.0_fz0.1_ap1.5_VB0.276_Rep2.mat,True,242262536
Insert6Edge1_Vc100.0_fz0.1_ap1.5_VB0.291_Rep1.mat,True,244002000
Insert6Edge1_Vc100.0_fz0.1_ap1.5_VB0.291_Rep2.mat,True,242003280
Insert6Edge1_Vc100.0_fz0.2_ap1.5_VB0.281_Rep1.mat,True,224471400
Insert6Edge1_Vc100.0_fz0.2_ap1.5_VB0.281_Rep2.mat,True,225282392
Insert6Edge1_Vc200.0_fz0.1_ap1.5_VB0.274_Rep1.mat,True,263472
Insert6Edge1_Vc200.0_fz0.1_ap1.5_VB0.274_Rep2.mat,True,220668280
Insert6Edge1_Vc200.0_fz0.1_ap1.5_VB0.284_Rep3.mat,True,213335064
Insert6Edge1_Vc200.0_fz0.2_ap1.5_VB0.272_Rep1.mat,True,180395240
Insert6Edge1_Vc200.0_fz0.2_ap1.5_VB0.272_Rep2.mat,True,180024536
Insert6Edge1_Vc50.0_fz0.05_ap1.5_VB0.287_Rep1.mat,True,774255520
Insert6Edge1_Vc50.0_fz0.05_ap1.5_VB0.287_Rep2.mat,True,791011440
Insert6Edge1_Vc50.0_fz0.1_ap1.5_VB0.287_Rep1.mat,True,527098720
Insert6Edge1_Vc50.0_fz0.1_ap1.5_VB0.287_Rep2.mat,True,379229936
Insert9Edge1_Vc50.0_fz0.05_ap1.5_VB0.0_Rep1.mat,True,507406192
Insert9Edge1_Vc50.0_fz0.05_ap1.5_VB0.0_Rep2.mat,True,617887776
Insert9Edge1_Vc50.0_fz0.1_ap1.5_VB0.03_Rep1.mat,True,379552256
Insert9Edge1_Vc50.0_fz0.1_ap1.5_VB0.03_Rep2.mat,True,378672960
Insert9Edge2_Vc100.0_fz0.05_ap1.5_VB0.0_Rep1.mat,True,542648
Insert9Edge2_Vc100.0_fz0.05_ap1.5_VB0.0_Rep2.mat,True,377521824
Insert9Edge2_Vc100.0_fz0.1_ap1.5_VB0.039_Rep1.mat,True,329528
Insert9Edge2_Vc100.0_fz0.1_ap1.5_VB0.039_Rep2.mat,True,248971696
