member,code,label,class_name,damage_location,severity_um,speed_hz,load_mv,load_n_measured,nominal_load_n,replicate,sampling_rate_hz,samples_per_file,channels,window,hop,windows,rms_all_channels
VariableSpeedAndLoad/C0A_100_000_1.mat,0A,0,healthy,none,0,100,0,0.0,0,1,51200,512000,6,4096,4096,125,5.85666561126709
VariableSpeedAndLoad/C0A_100_505_1.mat,0A,0,healthy,none,0,100,505,1012.0240480961924,1000,1,51200,512000,6,4096,4096,125,7.490586757659912
VariableSpeedAndLoad/C0A_100_706_1.mat,0A,0,healthy,none,0,100,706,1414.8296593186374,1400,1,51200,512000,6,4096,4096,125,7.982722282409668
VariableSpeedAndLoad/C0A_100_899_1.mat,0A,0,healthy,none,0,100,899,1801.6032064128256,1800,1,51200,512000,6,4096,4096,125,8.197888374328613
VariableSpeedAndLoad/C0A_200_000_1.mat,0A,0,healthy,none,0,200,0,0.0,0,1,51200,512000,6,4096,4096,125,6.320194721221924
VariableSpeedAndLoad/C0A_200_505_1.mat,0A,0,healthy,none,0,200,505,1012.0240480961924,1000,1,51200,512000,6,4096,4096,125,11.136529922485352
VariableSpeedAndLoad/C0A_200_706_1.mat,0A,0,healthy,none,0,200,706,1414.8296593186374,1400,1,51200,512000,6,4096,4096,125,18.07412338256836
VariableSpeedAndLoad/C0A_200_899_1.mat,0A,0,healthy,none,0,200,899,1801.6032064128256,1800,1,51200,512000,6,4096,4096,125,20.084644317626953
VariableSpeedAndLoad/C0A_300_000_1.mat,0A,0,healthy,none,0,300,0,0.0,0,1,51200,512000,6,4096,4096,125,7.841304779052734
VariableSpeedAndLoad/C0A_300_505_1.mat,0A,0,healthy,none,0,300,505,1012.0240480961924,1000,1,51200,512000,6,4096,4096,125,18.74557113647461
VariableSpeedAndLoad/C0A_300_706_1.mat,0A,0,healthy,none,0,300,706,1414.8296593186374,1400,1,51200,512000,6,4096,4096,125,20.520145416259766
VariableSpeedAndLoad/C0A_300_899_1.mat,0A,0,healthy,none,0,300,899,1801.6032064128256,1800,1,51200,512000,6,4096,4096,125,19.531782150268555
VariableSpeedAndLoad/C0A_400_000_1.mat,0A,0,healthy,none,0,400,0,0.0,0,1,51200,512000,6,4096,4096,125,8.545764923095703
VariableSpeedAndLoad/C0A_400_505_1.mat,0A,0,healthy,none,0,400,505,1012.0240480961924,1000,1,51200,512000,6,4096,4096,125,40.070152282714844
VariableSpeedAndLoad/C0A_400_706_1.mat,0A,0,healthy,none,0,400,706,1414.8296593186374,1400,1,51200,512000,6,4096,4096,125,41.37764358520508
VariableSpeedAndLoad/C0A_500_000_1.mat,0A,0,healthy,none,0,500,0,0.0,0,1,51200,512000,6,4096,4096,125,18.197986602783203
VariableSpeedAndLoad/C0A_500_505_1.mat,0A,0,healthy,none,0,500,505,1012.0240480961924,1000,1,51200,512000,6,4096,4096,125,60.070648193359375
VariableSpeedAndLoad/C1A_100_000_2.mat,1A,1,IR450,inner_ring,450,100,0,0.0,0,2,51200,512000,6,4096,4096,125,6.362587928771973
VariableSpeedAndLoad/C1A_100_502_2.mat,1A,1,IR450,inner_ring,450,100,502,1006.0120240480962,1000,2,51200,512000,6,4096,4096,125,9.79433822631836
VariableSpeedAndLoad/C1A_100_702_2.mat,1A,1,IR450,inner_ring,450,100,702,1406.8136272545091,1400,2,51200,512000,6,4096,4096,125,9.910138130187988
VariableSpeedAndLoad/C1A_100_898_2.mat,1A,1,IR450,inner_ring,450,100,898,1799.5991983967936,1800,2,51200,512000,6,4096,4096,125,9.91539478302002
VariableSpeedAndLoad/C1A_200_000_2.mat,1A,1,IR450,inner_ring,450,200,0,0.0,0,2,51200,512000,6,4096,4096,125,6.1625800132751465
VariableSpeedAndLoad/C1A_200_502_2.mat,1A,1,IR450,inner_ring,450,200,502,1006.0120240480962,1000,2,51200,512000,6,4096,4096,125,17.96550941467285
VariableSpeedAndLoad/C1A_200_702_2.mat,1A,1,IR450,inner_ring,450,200,702,1406.8136272545091,1400,2,51200,512000,6,4096,4096,125,17.79747772216797
VariableSpeedAndLoad/C1A_200_898_2.mat,1A,1,IR450,inner_ring,450,200,898,1799.5991983967936,1800,2,51200,512000,6,4096,4096,125,18.25702667236328
VariableSpeedAndLoad/C1A_300_000_2.mat,1A,1,IR450,inner_ring,450,300,0,0.0,0,2,51200,512000,6,4096,4096,125,8.431502342224121
VariableSpeedAndLoad/C1A_300_502_2.mat,1A,1,IR450,inner_ring,450,300,502,1006.0120240480962,1000,2,51200,512000,6,4096,4096,125,29.08803939819336
VariableSpeedAndLoad/C1A_300_702_2.mat,1A,1,IR450,inner_ring,450,300,702,1406.8136272545091,1400,2,51200,512000,6,4096,4096,125,29.924449920654297
VariableSpeedAndLoad/C1A_300_898_2.mat,1A,1,IR450,inner_ring,450,300,898,1799.5991983967936,1800,2,51200,512000,6,4096,4096,125,30.238309860229492
VariableSpeedAndLoad/C1A_400_000_2.mat,1A,1,IR450,inner_ring,450,400,0,0.0,0,2,51200,512000,6,4096,4096,125,10.842053413391113
VariableSpeedAndLoad/C1A_400_502_2.mat,1A,1,IR450,inner_ring,450,400,502,1006.0120240480962,1000,2,51200,512000,6,4096,4096,125,55.60324478149414
VariableSpeedAndLoad/C1A_400_702_2.mat,1A,1,IR450,inner_ring,450,400,702,1406.8136272545091,1400,2,51200,512000,6,4096,4096,125,57.92583465576172
VariableSpeedAndLoad/C1A_500_000_2.mat,1A,1,IR450,inner_ring,450,500,0,0.0,0,2,51200,512000,6,4096,4096,125,16.716999053955078
VariableSpeedAndLoad/C1A_500_502_2.mat,1A,1,IR450,inner_ring,450,500,502,1006.0120240480962,1000,2,51200,512000,6,4096,4096,125,106.68006134033203
VariableSpeedAndLoad/C2A_100_000_1.mat,2A,2,IR250,inner_ring,250,100,0,0.0,0,1,51200,512000,6,4096,4096,125,2.6837615966796875
VariableSpeedAndLoad/C2A_100_506_1.mat,2A,2,IR250,inner_ring,250,100,506,1014.0280561122245,1000,1,51200,512000,6,4096,4096,125,6.699355125427246
