VB,active_rows,case,clamp_pressure,dataset,experiment,feedrate,label,run,samples,split,windows
0.0,,1,,Berkeley_NASA_milling,,,sharp,1,9000,train,17
0.11,,1,,Berkeley_NASA_milling,,,sharp,4,9000,train,17
0.2,,1,,Berkeley_NASA_milling,,,worn,6,9000,train,17
0.24,,1,,Berkeley_NASA_milling,,,worn,7,9000,train,17
0.29,,1,,Berkeley_NASA_milling,,,worn,8,9000,train,17
0.28,,1,,Berkeley_NASA_milling,,,worn,9,9000,train,17
0.29,,1,,Berkeley_NASA_milling,,,worn,10,9000,train,17
0.38,,1,,Berkeley_NASA_milling,,,worn,11,9000,train,17
0.4,,1,,Berkeley_NASA_milling,,,worn,12,9000,train,17
0.43,,1,,Berkeley_NASA_milling,,,worn,13,9000,train,17
0.45,,1,,Berkeley_NASA_milling,,,worn,14,9000,train,17
0.5,,1,,Berkeley_NASA_milling,,,severe,15,9000,train,17
0.44,,1,,Berkeley_NASA_milling,,,worn,17,9000,train,17
0.08,,2,,Berkeley_NASA_milling,,,sharp,1,9000,test,17
0.14,,2,,Berkeley_NASA_milling,,,sharp,2,9000,test,17
0.14,,2,,Berkeley_NASA_milling,,,sharp,3,9000,test,17
0.14,,2,,Berkeley_NASA_milling,,,sharp,4,9000,test,17
0.15,,2,,Berkeley_NASA_milling,,,sharp,5,9000,test,17
0.18,,2,,Berkeley_NASA_milling,,,sharp,7,9000,test,17
0.22,,2,,Berkeley_NASA_milling,,,worn,8,9000,test,17
0.26,,2,,Berkeley_NASA_milling,,,worn,9,9000,test,17
0.31,,2,,Berkeley_NASA_milling,,,worn,10,9000,test,17
0.38,,2,,Berkeley_NASA_milling,,,worn,11,9000,test,17
0.43,,2,,Berkeley_NASA_milling,,,worn,12,9000,test,17
0.48,,2,,Berkeley_NASA_milling,,,severe,13,9000,test,17
0.55,,2,,Berkeley_NASA_milling,,,severe,14,9000,test,17
0.0,,3,,Berkeley_NASA_milling,,,sharp,1,9000,train,17
0.13,,3,,Berkeley_NASA_milling,,,sharp,2,9000,train,17
0.13,,3,,Berkeley_NASA_milling,,,sharp,3,9000,train,17
0.17,,3,,Berkeley_NASA_milling,,,sharp,5,9000,train,17
0.19,,3,,Berkeley_NASA_milling,,,sharp,6,9000,train,17
0.2,,3,,Berkeley_NASA_milling,,,worn,7,9000,train,17
0.23,,3,,Berkeley_NASA_milling,,,worn,8,9000,train,17
0.23,,3,,Berkeley_NASA_milling,,,worn,9,9000,train,17
0.26,,3,,Berkeley_NASA_milling,,,worn,10,9000,train,17
0.28,,3,,Berkeley_NASA_milling,,,worn,11,9000,train,17
0.33,,3,,Berkeley_NASA_milling,,,worn,12,9000,train,17
0.36,,3,,Berkeley_NASA_milling,,,worn,14,9000,train,17
0.44,,3,,Berkeley_NASA_milling,,,worn,15,9000,train,17
0.55,,3,,Berkeley_NASA_milling,,,severe,16,9000,train,17
0.08,,4,,Berkeley_NASA_milling,,,sharp,1,9000,test,17
0.13,,4,,Berkeley_NASA_milling,,,sharp,2,9000,test,17
0.2,,4,,Berkeley_NASA_milling,,,worn,3,9000,test,17
0.31,,4,,Berkeley_NASA_milling,,,worn,4,9000,test,17
0.35,,4,,Berkeley_NASA_milling,,,worn,5,9000,test,17
0.4,,4,,Berkeley_NASA_milling,,,worn,6,9000,test,17
0.49,,4,,Berkeley_NASA_milling,,,severe,7,9000,test,17
0.0,,9,,Berkeley_NASA_milling,,,sharp,1,9000,train,17
0.1,,9,,Berkeley_NASA_milling,,,sharp,2,9000,train,17
0.14,,9,,Berkeley_NASA_milling,,,sharp,3,9000,train,17
0.19,,9,,Berkeley_NASA_milling,,,sharp,4,9000,train,17
0.27,,9,,Berkeley_NASA_milling,,,worn,5,9000,train,17
0.38,,9,,Berkeley_NASA_milling,,,worn,6,9000,train,17
0.47,,9,,Berkeley_NASA_milling,,,severe,7,9000,train,17
0.64,,9,,Berkeley_NASA_milling,,,severe,8,9000,train,17
0.81,,9,,Berkeley_NASA_milling,,,severe,9,9000,train,17
0.0,,10,,Berkeley_NASA_milling,,,sharp,1,9000,train,17
0.04,,10,,Berkeley_NASA_milling,,,sharp,2,9000,train,17
0.08,,10,,Berkeley_NASA_milling,,,sharp,3,9000,train,17
0.16,,10,,Berkeley_NASA_milling,,,sharp,4,9000,train,17
0.25,,10,,Berkeley_NASA_milling,,,worn,5,9000,train,17
0.36,,10,,Berkeley_NASA_milling,,,worn,6,9000,train,17
0.43,,10,,Berkeley_NASA_milling,,,worn,7,9000,train,17
0.47,,10,,Berkeley_NASA_milling,,,severe,8,9000,train,17
0.53,,10,,Berkeley_NASA_milling,,,severe,9,9000,train,17
0.7,,10,,Berkeley_NASA_milling,,,severe,10,9000,train,17
0.0,,11,,Berkeley_NASA_milling,,,sharp,1,9000,train,17
0.04,,11,,Berkeley_NASA_milling,,,sharp,2,9000,train,17
0.07,,11,,Berkeley_NASA_milling,,,sharp,3,9000,train,17
0.07,,11,,Berkeley_NASA_milling,,,sharp,4,9000,train,17
0.08,,11,,Berkeley_NASA_milling,,,sharp,5,9000,train,17
