bearing fault diagnosis GAN da | Ping None | Few-Shot Aero-Engine Bearing Fault Diagnosis with Denoising Diffusion Based Data |  | 10.2139/ssrn.5015183
bearing fault diagnosis GAN da | Bobadilla 2024 | GAN-based Data Augmentation of Railway Track Irregularities for Fault Diagnosis | 2024 International Joint Conference on N | 10.1109/ijcnn60899.2024.10651483
bearing fault diagnosis GAN da | Hossain None | Bearing Fault Data Diagnosis : GA approach |  | 10.36227/techrxiv.20278797
bearing fault diagnosis GAN da | Hossain None | Bearing Fault Data Diagnosis : GA approach |  | 10.36227/techrxiv.20278797.v2
bearing fault diagnosis GAN da | Song 2023 | Data Augmentation Based on Active Virtual Sample Selection for Bearing Fault Dia | 2023 CAA Symposium on Fault Detection, S | 10.1109/safeprocess58597.2023.10295590
bearing fault diagnosis GAN da | Guo 2024 | A Transformer-based GAN for Bearing Fault Diagnosis Under Limited Data Condition | 2024 IEEE 22nd International Conference  | 10.1109/indin58382.2024.10774341
physics-informed generative ad |  None |  |  | 10.1117/12.2663268.6328866508112
physics-informed generative ad |  None |  |  | 10.1117/12.3093593.bd75a293-04a3-f011-a9ac-00505691c5e1
physics-informed generative ad | Dai None | Generative Adversarial Network to Alleviate Information Insufficiency in Intelli |  | 10.2139/ssrn.4423519
physics-informed generative ad | Li 2023 | PIX-GAN: Enhance Physics-Informed Estimation via Generative Adversarial Network | 2023 IEEE International Conference on Da | 10.1109/icdm58522.2023.00128
physics-informed generative ad | Gulakala None | Physics informed Spiking Generative Adversarial Networks in Structural Mechanics |  | 10.26226/m.64c26777632e9539aa87d755
physics-informed generative ad | Yang 2023 | Twin Modeling and Generative Adversarial Network Bearing Fault Diagnosis Enhance | 2023 4th International Conference on Com | 10.1109/icceic60201.2023.10426647
diffusion model fault diagnosi | Wang None | Tsdit: Transformer-Based Diffusion for Vibration Signal Generation to Enhance Fa |  | 10.2139/ssrn.5247183
diffusion model fault diagnosi | Wang None | Tsdit: A Transformer-Based Diffusion Model for Vibration Time-Series Generation  |  | 10.2139/ssrn.5088027
diffusion model fault diagnosi |  None | Basic residual generation methods | Model-based Fault Diagnosis Techniques | 10.1007/978-3-540-76304-8_5
diffusion model fault diagnosi |  None | Residual generation with enhanced robustness against model uncertainties | Model-based Fault Diagnosis Techniques | 10.1007/978-3-540-76304-8_8
diffusion model fault diagnosi |  None | Residual generation with enhanced robustness against unknown inputs | Model-based Fault Diagnosis Techniques | 10.1007/978-3-540-76304-8_7
diffusion model fault diagnosi | Qiao 2025 | DDPM-LFR: an enhanced local feature refinement diffusion model for helicopter ta | Mechanical Systems and Signal Processing | 10.1016/j.ymssp.2025.113170
large language model time seri | Wang None | Tsdit: A Transformer-Based Diffusion Model for Vibration Time-Series Generation  |  | 10.2139/ssrn.5088027
large language model time seri | Territo None | Large Language Model-Augmented Machine Learning For Intelligent Fault Diagnosis  |  | 10.2139/ssrn.5352663
large language model time seri | Lu None | Intelligent Fault Diagnosis for Overhead Lines with Covered Conductors: Using La |  | 10.46855/energy-proceedings-11484
