split,train_path,test_path,train_rpm_min,train_rpm_median,train_rpm_max,test_rpm_min,test_rpm_median,test_rpm_max,train_BPFO_hz_range,train_BPFI_hz_range,train_BSF_hz_range,train_FTF_hz_range,test_BPFO_hz_range,test_BPFI_hz_range,test_BSF_hz_range,test_FTF_hz_range
lolo_load0,proc/cwru_de12k_lolo_load0_train.npz,proc/cwru_de12k_lolo_load0_test.npz,1718.0,1750.0,1774.0,1796.0,1796.0,1797.0,102.645-105.991,155.055-160.109,134.963-139.362,11.404-11.776,107.305-107.365,162.095-162.185,141.091-141.169,11.922-11.928
lolo_load1,proc/cwru_de12k_lolo_load1_train.npz,proc/cwru_de12k_lolo_load1_test.npz,1718.0,1750.0,1797.0,1771.0,1772.0,1774.0,102.645-107.365,155.055-162.185,134.963-141.169,11.404-11.928,105.811-105.991,159.839-160.109,139.127-139.362,11.756-11.776
lolo_load2,proc/cwru_de12k_lolo_load2_train.npz,proc/cwru_de12k_lolo_load2_test.npz,1718.0,1772.0,1797.0,1746.0,1750.0,1754.0,102.645-107.365,155.055-162.185,134.963-141.169,11.404-11.928,104.318-104.796,157.582-158.304,137.163-137.791,11.590-11.643
lolo_load3,proc/cwru_de12k_lolo_load3_train.npz,proc/cwru_de12k_lolo_load3_test.npz,1746.0,1772.0,1797.0,1718.0,1725.0,1730.0,104.318-107.365,157.582-162.185,137.163-141.169,11.590-11.928,102.645-103.362,155.055-156.138,134.963-135.906,11.404-11.484
train_load0_test_load1,proc/cwru_de12k_train_load0_test_load1_train.npz,proc/cwru_de12k_train_load0_test_load1_test.npz,1796.0,1796.0,1797.0,1771.0,1772.0,1774.0,107.305-107.365,162.095-162.185,141.091-141.169,11.922-11.928,105.811-105.991,159.839-160.109,139.127-139.362,11.756-11.776
train_load0_test_load2,proc/cwru_de12k_train_load0_test_load2_train.npz,proc/cwru_de12k_train_load0_test_load2_test.npz,1796.0,1796.0,1797.0,1746.0,1750.0,1754.0,107.305-107.365,162.095-162.185,141.091-141.169,11.922-11.928,104.318-104.796,157.582-158.304,137.163-137.791,11.590-11.643
train_load0_test_load3,proc/cwru_de12k_train_load0_test_load3_train.npz,proc/cwru_de12k_train_load0_test_load3_test.npz,1796.0,1796.0,1797.0,1718.0,1725.0,1730.0,107.305-107.365,162.095-162.185,141.091-141.169,11.922-11.928,102.645-103.362,155.055-156.138,134.963-135.906,11.404-11.484
within_load0,proc/cwru_de12k_within_load0_train.npz,proc/cwru_de12k_within_load0_test.npz,1796.0,1796.0,1797.0,1796.0,1796.0,1797.0,107.305-107.365,162.095-162.185,141.091-141.169,11.922-11.928,107.305-107.365,162.095-162.185,141.091-141.169,11.922-11.928
within_load1,proc/cwru_de12k_within_load1_train.npz,proc/cwru_de12k_within_load1_test.npz,1771.0,1772.0,1774.0,1771.0,1772.0,1774.0,105.811-105.991,159.839-160.109,139.127-139.362,11.756-11.776,105.811-105.991,159.839-160.109,139.127-139.362,11.756-11.776
within_load2,proc/cwru_de12k_within_load2_train.npz,proc/cwru_de12k_within_load2_test.npz,1746.0,1750.0,1754.0,1746.0,1750.0,1754.0,104.318-104.796,157.582-158.304,137.163-137.791,11.590-11.643,104.318-104.796,157.582-158.304,137.163-137.791,11.590-11.643
within_load3,proc/cwru_de12k_within_load3_train.npz,proc/cwru_de12k_within_load3_test.npz,1718.0,1725.0,1730.0,1718.0,1725.0,1730.0,102.645-103.362,155.055-156.138,134.963-135.906,11.404-11.484,102.645-103.362,155.055-156.138,134.963-135.906,11.404-11.484
