file_name,experiment_id,Insert,Edge,Repetition,insert_edge,WorkpieceMaterial,material,Lubrication,Vc,fz,ap,ae,VB,rounded_VB_level,label_scheme_A,label_scheme_B,label_scheme_C,signal_synced_path,signal_unsynced_path,filename_parse_ok
Insert0Edge2_Vc100.0_fz0.1_ap1.5_VB0.0_Rep1.mat,Insert0Edge2_Vc100.0_fz0.1_ap1.5_VB0.0_Rep1,0,2,1,Insert0_Edge2,CastIron.GG30,CastIron.GG30,Dry,100.0,0.1,1.5,58.4,0.0,0.0,healthy,healthy,healthy,full_dataset/signals_synced/Insert0Edge2_Vc100.0_fz0.1_ap1.5_VB0.0_Rep1.mat,full_dataset/signals_unsynced/Insert0Edge2_Vc100.0_fz0.1_ap1.5_VB0.0_Rep1.mat,True
Insert0Edge2_Vc100.0_fz0.2_ap1.5_VB0.0_Rep1.mat,Insert0Edge2_Vc100.0_fz0.2_ap1.5_VB0.0_Rep1,0,2,1,Insert0_Edge2,CastIron.GG30,CastIron.GG30,Dry,100.0,0.2,1.5,58.4,0.0,0.0,healthy,healthy,healthy,full_dataset/signals_synced/Insert0Edge2_Vc100.0_fz0.2_ap1.5_VB0.0_Rep1.mat,full_dataset/signals_unsynced/Insert0Edge2_Vc100.0_fz0.2_ap1.5_VB0.0_Rep1.mat,True
Insert0Edge2_Vc200.0_fz0.1_ap1.5_VB0.018_Rep1.mat,Insert0Edge2_Vc200.0_fz0.1_ap1.5_VB0.018_Rep1,0,2,1,Insert0_Edge2,CastIron.GG30,CastIron.GG30,Dry,200.0,0.1,1.5,58.4,0.018,0.0,healthy,healthy,healthy,full_dataset/signals_synced/Insert0Edge2_Vc200.0_fz0.1_ap1.5_VB0.018_Rep1.mat,full_dataset/signals_unsynced/Insert0Edge2_Vc200.0_fz0.1_ap1.5_VB0.018_Rep1.mat,True
Insert0Edge3_Vc100.0_fz0.1_ap1.5_VB0.0_Rep2.mat,Insert0Edge3_Vc100.0_fz0.1_ap1.5_VB0.0_Rep2,0,3,2,Insert0_Edge3,CastIron.GG30,CastIron.GG30,Dry,100.0,0.1,1.5,58.4,0.0,0.0,healthy,healthy,healthy,full_dataset/signals_synced/Insert0Edge3_Vc100.0_fz0.1_ap1.5_VB0.0_Rep2.mat,full_dataset/signals_unsynced/Insert0Edge3_Vc100.0_fz0.1_ap1.5_VB0.0_Rep2.mat,True
Insert0Edge3_Vc100.0_fz0.2_ap1.5_VB0.0_Rep2.mat,Insert0Edge3_Vc100.0_fz0.2_ap1.5_VB0.0_Rep2,0,3,2,Insert0_Edge3,CastIron.GG30,CastIron.GG30,Dry,100.0,0.2,1.5,58.4,0.0,0.0,healthy,healthy,healthy,full_dataset/signals_synced/Insert0Edge3_Vc100.0_fz0.2_ap1.5_VB0.0_Rep2.mat,full_dataset/signals_unsynced/Insert0Edge3_Vc100.0_fz0.2_ap1.5_VB0.0_Rep2.mat,True
Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep1.mat,Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep1,0,3,1,Insert0_Edge3,CastIron.GG30,CastIron.GG30,Dry,200.0,0.1,1.5,58.4,0.0,0.0,healthy,healthy,healthy,full_dataset/signals_synced/Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep1.mat,full_dataset/signals_unsynced/Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep1.mat,True
Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep2.mat,Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep2,0,3,2,Insert0_Edge3,CastIron.GG30,CastIron.GG30,Dry,200.0,0.1,1.5,58.4,0.0,0.0,healthy,healthy,healthy,full_dataset/signals_synced/Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep2.mat,full_dataset/signals_unsynced/Insert0Edge3_Vc200.0_fz0.1_ap1.5_VB0.0_Rep2.mat,True
Insert0Edge3_Vc200.0_fz0.2_ap1.5_VB0.0_Rep1.mat,Insert0Edge3_Vc200.0_fz0.2_ap1.5_VB0.0_Rep1,0,3,1,Insert0_Edge3,CastIron.GG30,CastIron.GG30,Dry,200.0,0.2,1.5,58.4,0.0,0.0,healthy,healthy,healthy,full_dataset/signals_synced/Insert0Edge3_Vc200.0_fz0.2_ap1.5_VB0.0_Rep1.mat,full_dataset/signals_unsynced/Insert0Edge3_Vc200.0_fz0.2_ap1.5_VB0.0_Rep1.mat,True
Insert0Edge3_Vc200.0_fz0.2_ap1.5_VB0.0_Rep2.mat,Insert0Edge3_Vc200.0_fz0.2_ap1.5_VB0.0_Rep2,0,3,2,Insert0_Edge3,CastIron.GG30,CastIron.GG30,Dry,200.0,0.2,1.5,58.4,0.0,0.0,healthy,healthy,healthy,full_dataset/signals_synced/Insert0Edge3_Vc200.0_fz0.2_ap1.5_VB0.0_Rep2.mat,full_dataset/signals_unsynced/Insert0Edge3_Vc200.0_fz0.2_ap1.5_VB0.0_Rep2.mat,True
Insert1Edge1_Vc100.0_fz0.05_ap1.5_VB0.137_Rep1.mat,Insert1Edge1_Vc100.0_fz0.05_ap1.5_VB0.137_Rep1,1,1,1,Insert1_Edge1,StainlessSteel.316L,StainlessSteel.316L,MQL,100.0,0.05,1.5,58.4,0.137,0.1,healthy,unlabeled,healthy,full_dataset/signals_synced/Insert1Edge1_Vc100.0_fz0.05_ap1.5_VB0.137_Rep1.mat,full_dataset/signals_unsynced/Insert1Edge1_Vc100.0_fz0.05_ap1.5_VB0.137_Rep1.mat,True
Insert1Edge1_Vc100.0_fz0.05_ap1.5_VB0.137_Rep2.mat,Insert1Edge1_Vc100.0_fz0.05_ap1.5_VB0.137_Rep2,1,1,2,Insert1_Edge1,StainlessSteel.316L,StainlessSteel.316L,MQL,100.0,0.05,1.5,58.4,0.137,0.1,healthy,unlabeled,healthy,full_dataset/signals_synced/Insert1Edge1_Vc100.0_fz0.05_ap1.5_VB0.137_Rep2.mat,full_dataset/signals_unsynced/Insert1Edge1_Vc100.0_fz0.05_ap1.5_VB0.137_Rep2.mat,True
