accepted,alpha,attempt,candidate_sha256,carrier_a_index,carrier_a_source,carrier_b_index,carrier_b_source,class_identity_passed,class_identity_prediction,class_name,diversity_minimum,diversity_passed,failure_reasons,hard_gates_passed,method,nearest_train_distance,path,target_per_class,verifier_gates
True,0.35,0,5543b1c98b669970bf8cd949a32cd00bf14f02cb410d4d3c7ad05d7166af01a8,236,1_2,265,1_2,True,normal_machining,normal_machining,3.693709878562434,True,,True,s_b_carrier_mix,6.982367644951812,candidates/s_b_carrier_mix/n20/normal_machining/attempt_000.npy,20,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,0.5,1,ce2e76d046e6c5a58cf2fdb1b4649dc33399646e5f5390478bbb89765ca4f9f9,385,1_4,414,1_4,True,normal_machining,normal_machining,3.693709878562434,True,,True,s_b_carrier_mix,8.819343718069195,candidates/s_b_carrier_mix/n20/normal_machining/attempt_001.npy,20,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,0.65,2,ce1ba1e672830fc936f36ff22a5ca668fd59dd8e8d66c4594a8e75a885bb11c3,470,1_4,598,1_5,True,normal_machining,normal_machining,3.693709878562434,True,,True,s_b_carrier_mix,9.788777037393686,candidates/s_b_carrier_mix/n20/normal_machining/attempt_002.npy,20,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,0.35,3,bc3d2a046b4ffdcec39515c9686270b0abfed1d2b6486455444edf7aad1b0e41,528,1_5,151,1_1,True,normal_machining,normal_machining,3.693709878562434,True,,True,s_b_carrier_mix,6.3248739724540295,candidates/s_b_carrier_mix/n20/normal_machining/attempt_003.npy,20,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,0.5,4,6cb7e1354815e651daf2c16bb06a0df960ce044ac63115fbb520f13b7fc64e97,465,1_4,117,1_1,True,normal_machining,normal_machining,3.693709878562434,True,,True,s_b_carrier_mix,9.93681754454213,candidates/s_b_carrier_mix/n20/normal_machining/attempt_004.npy,20,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,0.65,5,1e35e07b667e3e7deba5668f02d84e93b6c9c85c366e819d3dc7ee7d2de3818a,160,1_1,37,1_1,True,normal_machining,normal_machining,3.693709878562434,True,,True,s_b_carrier_mix,6.400319801116055,candidates/s_b_carrier_mix/n20/normal_machining/attempt_005.npy,20,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,0.35,6,16ae4a42be8b217427c40a09580c3911f66c010fe7c6fe94378891aa9fd9824e,164,1_1,146,1_1,True,normal_machining,normal_machining,3.693709878562434,True,,True,s_b_carrier_mix,7.253201943205434,candidates/s_b_carrier_mix/n20/normal_machining/attempt_006.npy,20,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,0.5,7,8c0778e1d0d8e00932f2f4362c41740a2c5674c66dfbf25143a1cddb8b999eb0,516,1_5,535,1_5,True,normal_machining,normal_machining,3.693709878562434,True,,True,s_b_carrier_mix,7.491023928359005,candidates/s_b_carrier_mix/n20/normal_machining/attempt_007.npy,20,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
False,0.65,8,0ff92668621cd724014818274223c5be68f253d3b4cf861b25142cad172b0a55,588,1_5,276,1_2,True,normal_machining,normal_machining,3.693709878562434,True,stats_union,False,s_b_carrier_mix,13.58993670646916,candidates/s_b_carrier_mix/n20/normal_machining/attempt_008.npy,20,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": false}"
True,0.35,9,0039a116d6d7ae6c39535baa1cc096df01ec8fbb9c65c3c341667f2623f7580f,571,1_5,316,1_2,True,normal_machining,normal_machining,3.693709878562434,True,,True,s_b_carrier_mix,7.142000004429118,candidates/s_b_carrier_mix/n20/normal_machining/attempt_009.npy,20,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,0.5,10,3fecfc4e3cf05e621b72d04b6b028373073d88e2f25f8d3e8c249689fdb9b4d4,431,1_4,8,1_1,True,normal_machining,normal_machining,3.693709878562434,True,,True,s_b_carrier_mix,10.241276733631825,candidates/s_b_carrier_mix/n20/normal_machining/attempt_010.npy,20,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,0.65,11,327e05ec683e7b0d4876309018faa20a6eeb89d48edc3061dde2aba53552ed23,34,1_1,343,1_2,True,normal_machining,normal_machining,3.693709878562434,True,,True,s_b_carrier_mix,8.221642809845845,candidates/s_b_carrier_mix/n20/normal_machining/attempt_011.npy,20,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,0.35,12,635e10c9db237f7d884a2c089ce861c5fbe2be70b6c11cc34c7a6951f923975b,112,1_1,491,1_5,True,normal_machining,normal_machining,3.693709878562434,True,,True,s_b_carrier_mix,9.720851079734599,candidates/s_b_carrier_mix/n20/normal_machining/attempt_012.npy,20,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,0.5,13,abb6a26f6c835eff076e3f77f7130f844be6f09b5e0c07891464f823e509e24b,474,1_4,389,1_4,True,normal_machining,normal_machining,3.693709878562434,True,,True,s_b_carrier_mix,7.951924187224618,candidates/s_b_carrier_mix/n20/normal_machining/attempt_013.npy,20,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,0.65,14,db31a274809fbd060ddc7453aecb120126d77ccb7af5fdd0e52dc8498f068834,408,1_4,144,1_1,True,normal_machining,normal_machining,3.693709878562434,True,,True,s_b_carrier_mix,9.974261224801385,candidates/s_b_carrier_mix/n20/normal_machining/attempt_014.npy,20,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
False,0.35,15,80460835a3cd896c38e7e3651a0665673fe406687bbbbd1b365962f27e133780,596,1_5,273,1_2,True,normal_machining,normal_machining,3.693709878562434,True,psd_w1,False,s_b_carrier_mix,11.589982893266312,candidates/s_b_carrier_mix/n20/normal_machining/attempt_015.npy,20,"{""psd_w1"": false, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
