accepted,accepted_path,candidate_sha256,class_identity_prediction,class_name,failure_reasons,rounds_attempted,slot,status
True,s_c/accepted/normal_machining_slot_00.npy,5ce83f0ee457e1693f4bcfab431d6d114528c3ad904587c942acfd28fae3a47e,normal_machining,normal_machining,,3,0,accepted
True,s_c/accepted/lead_screw_anomaly_slot_00.npy,01cdb7bead4a56efb448a63760547495f64a6000ffaf5566650e817bee949233,lead_screw_anomaly,lead_screw_anomaly,,2,0,accepted
True,s_c/accepted/base_imbalance_slot_00.npy,56bf6df1c2c463a180f30b861a6adb73cb1f231edf9c11799c118412fcc1f0a6,base_imbalance,base_imbalance,,2,0,accepted
True,s_c/accepted/normal_machining_slot_01.npy,8b87a4eee2be79062523b4c19cf47a3c8ff56111fd841304a1131d8ab033c32d,normal_machining,normal_machining,,2,1,accepted
True,s_c/accepted/lead_screw_anomaly_slot_01.npy,65b90cd50fd1bc70e90fb4681f4424dd4aa15ead510ebe9e34fa1be66ba12aed,lead_screw_anomaly,lead_screw_anomaly,,1,1,accepted
True,s_c/accepted/base_imbalance_slot_01.npy,213b571feab20001a8ffd635ec61c3bb43158fe87072da9b89eaad0d588427b6,base_imbalance,base_imbalance,,1,1,accepted
True,s_c/accepted/normal_machining_slot_02.npy,626126a68e6db88621434c0e7f85c180f9377c9f198866e678d34b44ce6bbf22,normal_machining,normal_machining,,1,2,accepted
True,s_c/accepted/lead_screw_anomaly_slot_02.npy,ee27283a8875ea2b335e686476dedef0a3e9beb242cc8172441592f91f6f46d5,lead_screw_anomaly,lead_screw_anomaly,,1,2,accepted
True,s_c/accepted/base_imbalance_slot_02.npy,6b406c89fe527255282c0edcc066a95e7fe4f4861d387dd3235a559c02028588,base_imbalance,base_imbalance,,4,2,accepted
True,s_c/accepted/normal_machining_slot_03.npy,7392d16c9a4689797f240c8db67514d010d3e725eca683497536dc3d464b817f,normal_machining,normal_machining,,1,3,accepted
True,s_c/accepted/lead_screw_anomaly_slot_03.npy,7b22d3fbff25401bf818647852a468504849cf509fbaaf730731fc240c968f7b,lead_screw_anomaly,lead_screw_anomaly,,1,3,accepted
True,s_c/accepted/base_imbalance_slot_03.npy,a08cc2999993671640f525aeca441970e3cb490828a30e58913d93a8c5449bca,base_imbalance,base_imbalance,,1,3,accepted
True,s_c/accepted/normal_machining_slot_04.npy,be22932faf6ef649e456520cc26b41540ac68d510e65487d1eddafbdfce21df8,normal_machining,normal_machining,,1,4,accepted
True,s_c/accepted/lead_screw_anomaly_slot_04.npy,989428a677c84af730581fc0ad68e16697a9bbd06c49ff42969ae89e39845e11,lead_screw_anomaly,lead_screw_anomaly,,1,4,accepted
True,s_c/accepted/base_imbalance_slot_04.npy,1f44245dbb99d55a9008738a3696b5d51e62f0177ffc0b1587190837cd090a96,base_imbalance,base_imbalance,,2,4,accepted
True,s_c/accepted/normal_machining_slot_05.npy,c4a4ffb0f4a7bf1d4069a96158c45917df9a0dc0d49598eb10b3a792691028d6,normal_machining,normal_machining,,1,5,accepted
True,s_c/accepted/lead_screw_anomaly_slot_05.npy,f39bfb9b642f80a6c0f083278a8ab8e49fd24cf010de98c58b4b754001d8b3d5,lead_screw_anomaly,lead_screw_anomaly,,1,5,accepted
True,s_c/accepted/base_imbalance_slot_05.npy,180eafb7b17244a31f90256c91c977dddaf4d9f8a18a44036824575e36b62ccf,base_imbalance,base_imbalance,,4,5,accepted
True,s_c/accepted/normal_machining_slot_06.npy,12c224f9219ddc71ed053611d97b58f5f3b41f3e60242a18810685f9b0df44dd,normal_machining,normal_machining,,1,6,accepted
True,s_c/accepted/lead_screw_anomaly_slot_06.npy,f579e2805ad821b34ff08dba3f4ea66b87f4f367f524b96fda0dbe41435ed9d1,lead_screw_anomaly,lead_screw_anomaly,,1,6,accepted
True,s_c/accepted/base_imbalance_slot_06.npy,c32590f9dbbeca304ace875d8a3011a15521c2f2821027e4551431d3c9538edd,base_imbalance,base_imbalance,,1,6,accepted
True,s_c/accepted/normal_machining_slot_07.npy,9dde6d44542dcac3496862935b186d8a85852db80d291efe224601c8f519aa1a,normal_machining,normal_machining,,1,7,accepted
True,s_c/accepted/lead_screw_anomaly_slot_07.npy,c6f3085d4783bafe877d2dee64b85af112f68d8cad9916b1511247406bd67eaf,lead_screw_anomaly,lead_screw_anomaly,,1,7,accepted
True,s_c/accepted/base_imbalance_slot_07.npy,0d7f2f2caa8f292034df35d59d37a6809c9531313d5c5e4419793ba258e2c32c,base_imbalance,base_imbalance,,2,7,accepted
True,s_c/accepted/normal_machining_slot_08.npy,422b4e7647bdae5dfa054bead077e396c58c74c3f4a8aeb3b2cd633d88a60120,normal_machining,normal_machining,,1,8,accepted
True,s_c/accepted/lead_screw_anomaly_slot_08.npy,a7f379f9c8c04dd947154d47a90617a527e6ba87185e832f48a51cebb0be28bd,lead_screw_anomaly,lead_screw_anomaly,,1,8,accepted
True,s_c/accepted/base_imbalance_slot_08.npy,b55432984b3db2aa1abd8a1e452da355a8f8d6bc8fa93dfc7b7d809cab4e8457,base_imbalance,base_imbalance,,2,8,accepted
True,s_c/accepted/normal_machining_slot_09.npy,e007e7f51d7fbb9e5c875c2ae19440b7b70855c8fee73b79d558398e36e2548b,normal_machining,normal_machining,,4,9,accepted
True,s_c/accepted/lead_screw_anomaly_slot_09.npy,efd0ae6771a5b778f6e8962b2e9a62109f61bb4c83c43b361542cf6baea7e87d,lead_screw_anomaly,lead_screw_anomaly,,1,9,accepted
True,s_c/accepted/base_imbalance_slot_09.npy,e9aced008f9a5d083cebdfd8d0f427d4f4cad847e51589b0dc1f7cccc5f9d138,base_imbalance,base_imbalance,,3,9,accepted
True,s_c/accepted/normal_machining_slot_10.npy,4d5df8d06bafd2bddb31819e73b62ac61bded7ada603f333b825c8d889ced3e5,normal_machining,normal_machining,,2,10,accepted
True,s_c/accepted/lead_screw_anomaly_slot_10.npy,292978088487da480289f99b466937f0eda564a9b106147f878bade8d214f4c4,lead_screw_anomaly,lead_screw_anomaly,,1,10,accepted
True,s_c/accepted/base_imbalance_slot_10.npy,0273cea639f8b8acdb789fe28ffbd5d9d803a111ab390e1d7487e4e10b97a54c,base_imbalance,base_imbalance,,2,10,accepted
True,s_c/accepted/normal_machining_slot_11.npy,492db0913ecc7b8220a2f93579bd6c0efed04fa368ab3fc0cbfed98af2b34b47,normal_machining,normal_machining,,1,11,accepted
True,s_c/accepted/lead_screw_anomaly_slot_11.npy,6996fb787aecf1e6d9c01ec320c9a4edb8419fdeecdf9fc44174e11cfda1da58,lead_screw_anomaly,lead_screw_anomaly,,1,11,accepted
False,,,,base_imbalance,,4,11,exhausted
True,s_c/accepted/normal_machining_slot_12.npy,78a3b51c864cb60ea9f9a20c9cbd50ff613f4616ac6dcbe77ebf20da961c23a4,normal_machining,normal_machining,,1,12,accepted
True,s_c/accepted/lead_screw_anomaly_slot_12.npy,b69dda54fcc24cdf4945ae896fdd4e0ef645e5fb18fb1347258a8b241b23c69f,lead_screw_anomaly,lead_screw_anomaly,,1,12,accepted
False,,,,base_imbalance,,4,12,exhausted
True,s_c/accepted/normal_machining_slot_13.npy,170ad46f9a5506da0227ee5b21da9e42edccd20825dae45434ec5d905caa8be8,normal_machining,normal_machining,,3,13,accepted
True,s_c/accepted/lead_screw_anomaly_slot_13.npy,d05d3723bd168a3726a60b4e8699790a090578581a955ae993020fc92c23da3c,lead_screw_anomaly,lead_screw_anomaly,,1,13,accepted
