accepted,alpha,attempt,candidate_sha256,carrier_a_index,carrier_a_source,carrier_b_index,carrier_b_source,class_identity_passed,class_identity_prediction,class_name,diversity_minimum,diversity_passed,failure_reasons,hard_gates_passed,method,nearest_train_distance,path,target_per_class,verifier_gates
True,0.35,0,5543b1c98b669970bf8cd949a32cd00bf14f02cb410d4d3c7ad05d7166af01a8,236,1_2,265,1_2,True,normal_machining,normal_machining,3.693709878562434,True,,True,s_b_carrier_mix,6.982367644951812,candidates/s_b_carrier_mix/n5/normal_machining/attempt_000.npy,5,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,0.5,1,ce2e76d046e6c5a58cf2fdb1b4649dc33399646e5f5390478bbb89765ca4f9f9,385,1_4,414,1_4,True,normal_machining,normal_machining,3.693709878562434,True,,True,s_b_carrier_mix,8.819343718069195,candidates/s_b_carrier_mix/n5/normal_machining/attempt_001.npy,5,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,0.65,2,ce1ba1e672830fc936f36ff22a5ca668fd59dd8e8d66c4594a8e75a885bb11c3,470,1_4,598,1_5,True,normal_machining,normal_machining,3.693709878562434,True,,True,s_b_carrier_mix,9.788777037393686,candidates/s_b_carrier_mix/n5/normal_machining/attempt_002.npy,5,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,0.35,3,bc3d2a046b4ffdcec39515c9686270b0abfed1d2b6486455444edf7aad1b0e41,528,1_5,151,1_1,True,normal_machining,normal_machining,3.693709878562434,True,,True,s_b_carrier_mix,6.3248739724540295,candidates/s_b_carrier_mix/n5/normal_machining/attempt_003.npy,5,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,0.5,4,6cb7e1354815e651daf2c16bb06a0df960ce044ac63115fbb520f13b7fc64e97,465,1_4,117,1_1,True,normal_machining,normal_machining,3.693709878562434,True,,True,s_b_carrier_mix,9.93681754454213,candidates/s_b_carrier_mix/n5/normal_machining/attempt_004.npy,5,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,0.35,0,a09b2c606c048503ac337ddf0a35b285fa335d70e201eaf6dc341bef761c326e,8,2_1,248,2_5,True,lead_screw_anomaly,lead_screw_anomaly,2.4236589111645213,True,,True,s_b_carrier_mix,5.375130294778864,candidates/s_b_carrier_mix/n5/lead_screw_anomaly/attempt_000.npy,5,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,0.5,1,5f7fa335b6b2ec5038daa3771a1e6f987778099a5fcc7cb703c0286ceeccbf2a,24,2_1,119,2_2,True,lead_screw_anomaly,lead_screw_anomaly,2.4236589111645213,True,,True,s_b_carrier_mix,10.804947820652915,candidates/s_b_carrier_mix/n5/lead_screw_anomaly/attempt_001.npy,5,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,0.65,2,b31ac9bed4a3be996d812591c3a3eec6c2740e4602b1e5cf969c48279bd4b410,201,2_5,209,2_5,True,lead_screw_anomaly,lead_screw_anomaly,2.4236589111645213,True,,True,s_b_carrier_mix,5.307762327872321,candidates/s_b_carrier_mix/n5/lead_screw_anomaly/attempt_002.npy,5,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
False,0.35,3,68fcf4875da7be0f13b92d5a288fe200f17d72db9986098696592257758e9abf,10,2_1,146,2_4,False,normal_machining,lead_screw_anomaly,2.4236589111645213,True,class_identity,True,s_b_carrier_mix,5.848229755351852,candidates/s_b_carrier_mix/n5/lead_screw_anomaly/attempt_003.npy,5,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
True,0.5,4,1798f45facd67a27fd093f6bcc2b400dcbd9ff014d63977fb54c4afc8d373e9e,108,2_2,240,2_5,True,lead_screw_anomaly,lead_screw_anomaly,2.4236589111645213,True,,True,s_b_carrier_mix,4.925873915468947,candidates/s_b_carrier_mix/n5/lead_screw_anomaly/attempt_004.npy,5,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
False,0.65,5,4b8cf7f07850f9dd1edb2ff0edc466db3a118bdb533faa21220b3c2b43ec1d2b,225,2_5,40,2_1,False,normal_machining,lead_screw_anomaly,2.4236589111645213,True,class_identity,True,s_b_carrier_mix,5.877017735164917,candidates/s_b_carrier_mix/n5/lead_screw_anomaly/attempt_005.npy,5,"{""psd_w1"": true, ""sanity"": true, ""soft_spectrum"": true, ""stats_union"": true}"
