dataset,class,method,nn_diversity,n_pool,direction
pu,healthy,real_reference,9.812184725,1200,no universal optimum
pu,healthy,llm,24.18301665,150,no universal optimum
pu,healthy,rule,20.69827762,150,no universal optimum
pu,healthy,random_open_loop,67.36817313,150,no universal optimum
pu,healthy,noise_aug,69.79299434,150,no universal optimum
pu,OR,real_reference,2.620808051,1202,no universal optimum
pu,OR,llm,4.45216201,150,no universal optimum
pu,OR,rule,2.530250546,150,no universal optimum
pu,OR,random_open_loop,13.9411377,150,no universal optimum
pu,OR,noise_aug,4.227019046,150,no universal optimum
pu,IR,real_reference,8.080782964,1444,no universal optimum
pu,IR,llm,22.66672578,150,no universal optimum
pu,IR,rule,19.37641391,150,no universal optimum
pu,IR,random_open_loop,76.18659491,150,no universal optimum
pu,IR,noise_aug,64.25917185,150,no universal optimum
cwru,healthy,real_reference,10.09868617,83,no universal optimum
cwru,healthy,llm,95.92118916,20,no universal optimum
cwru,healthy,rule,88.74626921,20,no universal optimum
cwru,healthy,noise_aug,126383.3342,20,no universal optimum
cwru,IR,real_reference,2.463237282,163,no universal optimum
cwru,IR,llm,14994.55791,20,no universal optimum
cwru,IR,rule,19197.34471,20,no universal optimum
cwru,IR,noise_aug,50954.25161,20,no universal optimum
cwru,B,real_reference,3.757555652,163,no universal optimum
cwru,B,llm,9876.061271,20,no universal optimum
cwru,B,rule,10345.70722,20,no universal optimum
cwru,B,noise_aug,87234.40104,20,no universal optimum
cwru,OR,real_reference,1.709809163,287,no universal optimum
cwru,OR,llm,323.5227026,20,no universal optimum
cwru,OR,rule,159.3835577,20,no universal optimum
cwru,OR,noise_aug,856.1846247,20,no universal optimum
berkeley,healthy,real_reference,15.1987644,629,no universal optimum
berkeley,healthy,llm,2.602778974,20,no universal optimum
berkeley,healthy,rule,11.05430218,20,no universal optimum
berkeley,healthy,random_open_loop,42.67367182,20,no universal optimum
berkeley,healthy,noise_aug,33.37607518,20,no universal optimum
berkeley,degraded,real_reference,14.42172605,1207,no universal optimum
berkeley,degraded,llm,3.093431189,20,no universal optimum
berkeley,degraded,rule,16.52677648,20,no universal optimum
berkeley,degraded,random_open_loop,36.43336758,20,no universal optimum
berkeley,degraded,noise_aug,31.77908285,20,no universal optimum
