condition,shaft_hz,rpm,radial_load_kn,frequency_key,multiplier,frequency_hz
1,35.0,2100,12.0,FTF,0.385383502170767,13.488422575976845
1,35.0,2100,12.0,BPFO,3.083068017366136,107.90738060781476
1,35.0,2100,12.0,BPFI,4.916931982633864,172.09261939218524
1,35.0,2100,12.0,BSF,2.0665703708576357,72.32996298001726
2,37.5,2250,11.0,FTF,0.385383502170767,14.451881331403763
2,37.5,2250,11.0,BPFO,3.083068017366136,115.6150506512301
2,37.5,2250,11.0,BPFI,4.916931982633864,184.3849493487699
2,37.5,2250,11.0,BSF,2.0665703708576357,77.49638890716135
3,40.0,2400,10.0,FTF,0.385383502170767,15.41534008683068
3,40.0,2400,10.0,BPFO,3.083068017366136,123.32272069464544
3,40.0,2400,10.0,BPFI,4.916931982633864,196.67727930535455
3,40.0,2400,10.0,BSF,2.0665703708576357,82.66281483430544
